Element_Tag,Placeholder_Text,Description_Spec,Spec_Role_Or_Note,Matches_To_Target_Mapping,Status_Gap_Note,Additional_Detail,Mapping_Confidence
fileIdentifier,Unique Identifier Assigned to Metadata Record,Unique ID for the file (e.g. UUID).,,missionId -> mission.id (generator prefixes gov.noaa.ncei.uxs: unless output.nceiFileIdPrefix is false),mostly fine,UI still labels missionId,High
dateStamp,Date Time,Resource Metadata Date,,metadataRecordDate else output.metadataRecordDate else server now,still fuzzy for users: record prepared vs mission dates,document the precedence in operator guidance,Medium
dimensionSize,Column Dimension Size,Number of elements along the axes,Grid axis: column,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to grid column axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: column,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
dimensionSize,Row Dimension Size,Number of elements along the axes,Grid axis: row,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to grid row axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: row,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
dimensionSize,Vertical Dimension Size,Number of elements along the axes,Grid axis: vertical,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to vertical axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: vertical,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
title,Acquisition (data collection) entity should be globally unique,Title of the acquisition/collection.,Citation / identification title,missionTitle -> mission.title,fine,N/A,High
date,Creation Date of Dataset,Creation Date of Dataset,Citation date type: creation,startDate -> citation CI_Date creation,works; template also uses gco:Date sometimes while we often emit DateTime,N/A,High
date,Publication Date of Dataset,Publication Date of Dataset,Citation date type: publication,publicationDate -> citation publication date type,exists; preview validation messaging may not stress it everywhere,N/A,High
date,Completion Date of Dataset,Completion or end of dataset,(Spec supplement: often paired with creation/publication in templates),endDate -> citation completion,if Excel only lists creation + publication completion can surprise editors,N/A,Medium
MD_Identifier - code,DOI,The Digital Object Identifier URL,Citation identifier,output.doi -> citation identifier,fine,N/A,High
MD_Identifier - code,identifier,NCEI Accession ID.,Citation identifier,nceiAccessionId -> citation identifier,fine,N/A,High
MD_Identifier - code,Unique Identifier Assigned to Metadata Record,NCEI Metadata ID - same as file identifier,Citation identifier repeat,repeat mission.id in citation,aligned with template pattern,N/A,High
individualName,POC for Dataset,Name of Point of Contact (Author).,Cited responsible party: author,mission organization + email in identification (citedResponsibleParty author),partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
organisationName,POC's Org,Organization of Point of Contact.,Cited responsible party: author,mission organization + email in identification,partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
electronicMailAddress,POC Email,Email address of Point of Contact.,Cited responsible party: author,mission organization + email in identification,partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
URL,Website for POC's Org,Website URL for the organization.,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,URL protocol name description block for org,Medium
protocol,The connection protocol to be used such as http ftp etc.,Protocol for the URL,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Protocol for the URL,Medium
name,Background Information Name of the online resource,Website name title,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Website name title,Medium
description,Background information from the source. Description of the online resource that provides the resource sought,Description of the website,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Description of the website,Medium
individualName,POC for Dataset,Name of Point of Contact (Originator).,Cited responsible party: originator,mission organization + email in identification (originator role when present),partial vs template multi-party author/publisher/originator,Name Org Email of POC Originator,Medium
organisationName,POC's Org,Organization of Point of Contact.,Cited responsible party: originator,mission organization + email in identification,partial vs template multi-party blocks,Name Org Email of POC Originator,Medium
electronicMailAddress,POC Email,Email address of Point of Contact.,Cited responsible party: originator,mission organization + email in identification,partial vs template multi-party blocks,Email of POC Originator,Medium
URL,Website for POC's Org,Website URL for the organization.,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,URL for Originator org,Medium
protocol,The connection protocol to be used such as http ftp etc.,Protocol for the URL,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Protocol for Originator URL,Medium
name,Background Information Name of the online resource,Website name title,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Website name title Originator,Medium
description,Background information from the source. Description of the online resource that provides the resource sought,Description of the website,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Description of website Originator,Medium
abstract,Not a scientific abstract. Describe dataset goals of mission.,General description of the dataset.,Data identification,abstract,fine,N/A,High
purpose,Not a scientific abstract. Describe collection purpose overarching project.,Why the data was collected.,Data identification,purpose -> gmd:purpose,field exists and is emitted; gap is mostly UX copy and Excel row alignment not missing XML,N/A,High
individualName,AT LEAST ONE OF ORGANISATION INDIVIDUAL OR POSITION,Contact Person Org for inquiries.,Metadata point of contact,responsible party metadata contact (full CI_ResponsibleParty or NCEI xlink),one simple inline contact vs template xlink-only preparer,Contact Person Org for inquiries,Medium
organisationName,AT LEAST ONE OF ORGANISATION INDIVIDUAL OR POSITION,Contact Person Org for inquiries.,Metadata point of contact,responsible party metadata contact,one simple inline contact vs template xlink-only,Contact Person Org for inquiries,Medium
electronicMailAddress,Contact Email for Responsible Party or Org,Contact email.,Metadata point of contact,responsible party metadata contact,one simple inline contact vs template xlink-only,Contact email,Medium
URL,website for Responsible Party or Org.com,Contact website.,Metadata point of contact,responsible party metadata contact,one simple inline contact vs template xlink-only,Contact website,Medium
keyword,Earth Science > Topic > Term > Variable_Level_1,Science keywords (GCMD).,Descriptive keywords science,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,need ongoing check that GCMD scheme type codes match NCEI expectations,Science keywords GCMD,Medium
keyword,Location_Category > Location_Type > Location_Subregion1,Location keywords (GCMD).,Descriptive keywords place,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,scheme type codes vs NCEI expectations,Location keywords GCMD,Medium
keyword,Short_Name > Long_Name,Platform keywords,Descriptive keywords platform,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,scheme type codes vs NCEI expectations,Platform keywords,Medium
keyword,Short_Name > Long_Name,Instrument keywords,Descriptive keywords instrument,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,scheme type codes vs NCEI expectations,Instrument keywords,Medium
keyword,Short_Name > Long_Name,Project keywords,Descriptive keywords project,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,scheme type codes vs NCEI expectations,Project keywords,Medium
keyword,Short_Name > Long_Name,Organization Data Center keywords,Descriptive keywords org,gcmdKeywordsJson -> mission.gcmdKeywords -> descriptiveKeywords,scheme type codes vs NCEI expectations,Org Data Center keywords,Medium
otherConstraints,CITE AS STATEMENT,How to cite this data.,Use limitation / citation,citeAs useLimitation otherCiteAs distributionLiability plain otherConstraints,still easy to confuse with accessConstraints code vs prose,N/A,Medium
otherConstraints,OTHER CITE AS STATEMENTS (e.g. reference papers),Additional citation info.,Additional citation lines,citeAs useLimitation otherCiteAs distributionLiability,still easy to confuse with accessConstraints,N/A,Medium
resourceConstraints,https://data.noaa.gov/docucomp/10bb305d-f440-4b92-8c1c-759dd543bc5,Data License URL Link to Docucomp Component for correct license,MD_Constraints / license anchor,dataLicensePreset + licenseUrl when custom; ACDO gmx:Anchor pair; NCEI docucomp xlink presets,custom URL only used for custom preset; validators may care about order of constraint blocks,Link to Docucomp Component,High
title,TITLE OF PROJECT,Title of the parent project.,Aggregation parent project,parentProjectTitle Date Code -> aggregationInfo,fields exist; aggregation order and citedResponsibleParty richness differ from full Navy template,title date code,Medium
date,9999-09-09,Publication Date of Project,Aggregation parent project,parentProjectTitle Date Code -> aggregationInfo,same as parent project row,Publication Date of Project,Medium
code,PROJECT ID,ID of the parent project.,Aggregation parent project,parentProjectTitle Date Code -> aggregationInfo,same as parent project row,PROJECT ID,Medium
title,related dataset title,Title of a related dataset.,Aggregation related dataset,relatedDataset* + URL fields -> aggregationInfo,same; related org URL not as rich as template citation block,title date code organisationName URL,Medium
date,9999-09-09,Publication Date of the related dataset,Aggregation related dataset,relatedDataset* + URL fields -> aggregationInfo,same,Publication Date related dataset,Medium
code,dataset identifier,ID of a related dataset.,Aggregation related dataset,relatedDataset* + URL fields -> aggregationInfo,same,dataset identifier,Medium
organisationName,related data organization name,Org managing related data.,Aggregation related dataset,relatedDataset* + URL fields -> aggregationInfo,same,related data organization name,Medium
URL,relatedDataURL,URL for related data.,Aggregation related dataset,relatedDataset* + URL fields -> aggregationInfo,same,relatedDataURL,Medium
name,related data url title,Title of the related URL.,Aggregation related dataset online resource,relatedDataset* + URL fields -> aggregationInfo,same,related data url title,Medium
description,related data description,Description of related data.,Aggregation related dataset narrative,relatedDataset* + URL fields -> aggregationInfo,same,related data description,Medium
title,TITLE OF PUBLICATION,Title of associated paper pub.,Aggregation associated publication,associatedPublication* -> aggregationInfo + initiativeType sciencePaper,mapping confidence and optional empty blocks,title date code,Medium
date,9999-09-09,Publication Date of Publication,Aggregation associated publication,associatedPublication* -> aggregationInfo,same,Publication Date of Publication,Medium
code,ID OF PUBLICATION,ID of associated paper pub.,Aggregation associated publication,associatedPublication* -> aggregationInfo,same,ID OF PUBLICATION,Medium
description,BRIEF DESCRIPTION OF EXTENT,Text description of geographic extent.,EX_Extent geographic description,spatial.geographicDescription,fine,N/A,High
westBoundingLongitude,-180,West Bounding Coordinates,BBox corner,spatial.boundingBox corners -> EX_GeographicBoundingBox,good,West Bounding Coordinates,High
eastBoundingLongitude,180,East Bounding Coordinates,BBox corner,spatial.boundingBox corners -> EX_GeographicBoundingBox,good,East Bounding Coordinates,High
southBoundingLatitude,-90,South Bounding Coordinates,BBox corner,spatial.boundingBox corners -> EX_GeographicBoundingBox,good,South Bounding Coordinates,High
northBoundingLatitude,90,North Bounding Coordinates,BBox corner,spatial.boundingBox corners -> EX_GeographicBoundingBox,good,North Bounding Coordinates,High
beginPosition,9999-01-01,Time period begin date,Temporal extent,startDate endDate -> gml:TimePeriod inside EX_Extent,generator wired; ensure form labels and Excel both say temporal comes from mission dates,Time period begin date,High
endPosition,9999-01-02,Time period end date,Temporal extent,startDate endDate -> gml:TimePeriod inside EX_Extent,generator wired,Time period end date,High
day,day,Time interval unit,Temporal duration optional,temporal extent interval if used in template,ensure form and Excel alignment for duration vs period,Time interval unit,Medium
value,99,Time interval value,Temporal duration optional,temporal extent interval if used in template,same,Time interval value,Medium
minimumValue,99,Minimum vertical extent,Vertical extent,verticalMinimum verticalMaximum verticalCrsUrl -> EX_VerticalExtent,generator and parser wired; CRS URL optional,Minimum vertical extent,High
maximumValue,99,Maximum Vertical Extent,Vertical extent,verticalMinimum verticalMaximum verticalCrsUrl -> EX_VerticalExtent,generator and parser wired,Maximum Vertical Extent,High
verticalCRS,verticalCRSandUnits,URL Link to Vertical CRS definition.,Vertical CRS,verticalCrsUrl -> EX_VerticalExtent verticalCRS,optional URL,N/A,High
supplementalInformation,any other information,Other descriptive information about the dataset,Identification supplemental,supplementalInformation field in mission data,fine per generator,any other information,High
MemberName,Variable Name,Name of the measured variable.,Coverage MD_Band,sensor variableName dataType coverageDescriptor or derived text,still thin unless users fill optional sensor fields,Name of measured variable,Low
TypeName,String,Variable Type,Coverage MD_Band,sensor variableName dataType dataType or derived,still thin,Variable Type,Low
descriptor,Platform and Instrument Sensor Used,Platform and Instrument Sensor Used,Coverage description,sensor variableName dataType coverageDescriptor or derived text,still thin,Platform and Instrument Sensor Used,Low
MD_Format,format name,Data format (e.g. NetCDF).,Distribution format,distributionFormatName distributionFileFormat -> distributorFormat MD_Format,fine,Data format e.g. NetCDF,High
CI_OnlineResource,fileIdentifier,NCEI Metadata ID - same as file identifier,Distributor transfer option landing,metadataLandingUrl -> distributorTransferOptions + NCEI Geoportal default from file id,pretty good,NCEI Metadata ID same as file identifier,High
CI_OnlineResource,accessURL,Direct download URL.,Distributor transfer option download,downloadUrl -> second transfer option with download function,pretty good,Direct download URL,High
protocol,URL type ID,Protocol (e.g. HTTPS FTP).,Transfer option protocol,download and landing transfer options,pretty good,Protocol e.g. HTTPS FTP,High
name,name of accessURL,Name of the download link.,Transfer option,name/description on transfer options,pretty good,Name of download link,High
description,description of accessURL,Description of the download link.,Transfer option,name/description on transfer options,pretty good,Description of download link,High
MI_Instrument,INSTRUMENT_ID,Unique Instrument ID,Acquisition instrument,sensors[] -> acquisition + MI_CoverageDescription bands,good overall; coverage variable names optional on sensors,Unique Instrument ID Type Description,High
type,TYPE OF INSTRUMENT,Instrument Type,Acquisition instrument,sensors[] -> acquisition + MI_CoverageDescription bands,good,Instrument Type,High
description,BRIEF DESCRIPTION OF INSTRUMENT,Instrument Description,Acquisition instrument,sensors[] -> acquisition + MI_CoverageDescription bands,good,Instrument Description,High
code,PLATFORM_ID,Unique Platform ID.,Platform LE_Platform,platform.* fine; client server aliases platformId platformName platformComments,N/A,code description,High
description,BRIEF DESCRIPTION OF PLATFORM,Platform Description.,Platform LE_Platform,platformComments -> platform.description via mapClientDataToServer alias,easy to miss in docs,Platform Description,High
code,INSTRUMENT_ID,Instrument ID mounted on platform.,Platform carried sensor MI_Instrument,sensors on platform,same as instrument row,Instrument ID on platform,High
type,TYPE OF INSTRUMENT,Instrument Type mounted on platform.,Platform carried sensor,sensors on platform,same,Instrument Type on platform,High
description,BRIEF DESCRIPTION OF INSTRUMENT,Instrument Description mounted on platform.,Platform carried sensor,sensors on platform,same,Instrument Description on platform,High
fees,,,Excel spec supplement — not listed in your placeholder table,distributionFeesText (output),defaults match template if unset,N/A,High
orderingInstructions,,,Excel spec supplement — not listed in your placeholder table,distributionOrderingInstructions (output),same,N/A,High
metadataMaintenance,,,Excel spec supplement — not listed in your placeholder table,metadataMaintenanceFrequency (output) -> root metadataMaintenance,fine,N/A,High
rootReferenceSystemInfo,,,Excel spec supplement — not listed in your placeholder table,spatial.referenceSystem -> referenceSystemInfo,omitted if output.omitRootReferenceSystemInfo intentional omit for Navy template,N/A,High
organizationRor,,,Excel spec supplement — not listed in your placeholder table,organizationRor* -> extra CI_OnlineResource,pretty polished,N/A,High
aggregationInitiativeTypes,,,Excel spec supplement — not listed in your placeholder table,DS_AssociationTypeCode DS_InitiativeTypeCode,generator updated; validate against target XSD if issues appear,N/A,High
contentInfo,,,Excel spec supplement — not listed in your placeholder table,gmi:MI_CoverageDescription MD_Band per sensor,replaces older feature-catalogue style,N/A,High
strictValidation,,,Excel spec supplement — not listed in your placeholder table,detectStructuralSpineElements + schema validation,can pass while narrative metadata still thin; strict is structural not completeness,N/A,High
